ward,listings,priced,median_price,pct_entire,pct_commercial,median_reviews,lat,lon
Ward 35,1,1,5722.0,100.0,100.0,0.0,-34.00448,18.62943
Ward 62,696,596,4265.0,90.7,57.9,5.0,-34.01247,18.44084
Ward 24,2,2,3066.0,0.0,100.0,13.0,-33.97274,18.59682
Ward 71,306,260,2940.0,88.6,38.6,4.0,-34.05996,18.43905
Ward 69,545,473,2935.0,87.7,50.3,7.0,-34.10551,18.38327
Ward 74,1226,1073,2905.0,86.4,57.5,8.0,-34.02655,18.35692
Ward 61,1075,985,2511.0,89.4,52.5,15.0,-34.18405,18.38091
Ward 54,4333,3882,2510.0,89.3,75.0,10.0,-33.92293,18.38505
Ward 59,646,540,1980.0,86.5,50.8,6.0,-33.97702,18.46303
Ward 100,386,361,1930.0,80.3,63.5,3.0,-34.15767,18.86801
Ward 58,503,421,1927.0,86.3,35.6,6.0,-33.97801,18.47932
Ward 73,269,233,1849.0,86.2,40.1,8.0,-34.03157,18.45678
Ward 84,346,320,1836.0,80.9,52.3,4.5,-34.07938,18.86786
Ward 77,1666,1411,1769.0,82.4,55.3,10.0,-33.93469,18.41263
Ward 83,349,314,1711.0,91.1,42.7,5.0,-34.10915,18.82381
Ward 107,810,723,1693.0,82.7,58.4,5.0,-33.82052,18.48372
Ward 64,1253,1153,1688.0,86.2,52.4,12.0,-34.11278,18.45958
Ward 85,122,112,1662.0,81.1,61.5,4.5,-34.12216,18.83252
Ward 86,38,37,1659.0,86.8,42.1,2.0,-34.13112,18.84177
Ward 23,1468,1306,1657.0,83.5,62.5,5.0,-33.80228,18.46778
Ward 66,2,2,1644.0,100.0,100.0,18.5,-34.02348,18.52013
Ward 55,847,793,1636.0,87.8,65.8,7.0,-33.89118,18.50448
Ward 15,483,423,1622.0,71.6,53.8,3.0,-34.06061,18.83463
Ward 92,7,7,1598.0,14.3,71.4,1.0,-34.04728,18.66863
Ward 109,64,50,1596.0,89.1,50.0,9.5,-34.09262,18.81411
Ward 115,5971,5421,1538.0,92.3,69.8,12.0,-33.91812,18.41816
Ward 105,104,92,1485.0,66.3,56.7,4.0,-33.81539,18.65702
Ward 4,305,279,1478.0,72.5,66.9,4.0,-33.85688,18.49394
Ward 112,150,134,1400.0,72.0,57.3,4.0,-33.83303,18.6476
Ward 110,4,4,1290.0,75.0,0.0,3.5,-34.04942,18.49332
Ward 70,263,235,1199.0,80.6,51.3,8.0,-33.87008,18.61746
Ward 29,1,1,1198.0,100.0,0.0,1.0,-33.48507,18.4616
Ward 32,10,10,1198.0,100.0,70.0,0.0,-33.5887,18.55343
Ward 57,598,509,1154.0,68.6,61.7,8.0,-33.93627,18.46726
Ward 103,93,79,1150.0,83.9,28.0,7.0,-33.82975,18.69343
Ward 48,7,7,1150.0,100.0,0.0,7.0,-33.98002,18.51366
Ward 113,426,388,1150.0,72.8,57.5,3.0,-33.82845,18.50607
Ward 56,48,45,1138.0,56.2,66.7,3.0,-33.92104,18.49004
Ward 44,2,2,1134.0,100.0,0.0,36.5,-33.968,18.5459
Ward 14,22,17,1130.0,59.1,18.2,1.0,-33.99533,18.73139
Ward 104,27,23,1098.0,85.2,63.0,1.0,-33.8021,18.52898
Ward 1,263,242,1092.0,53.2,68.8,2.0,-33.87621,18.56981
Ward 53,205,179,1062.0,68.8,45.4,4.0,-33.93651,18.50685
Ward 21,181,163,1042.0,80.1,52.5,5.0,-33.8663,18.64881
Ward 67,24,22,1006.0,79.2,54.2,6.0,-34.06412,18.51134
Ward 60,84,80,998.0,60.7,70.2,8.0,-33.97969,18.49952
Ward 5,78,68,986.0,65.4,52.6,4.0,-33.86853,18.54707
Ward 102,68,65,982.0,86.8,58.8,9.0,-33.86377,18.68982
Ward 8,118,105,970.0,60.2,62.7,1.0,-33.89845,18.69525
Ward 7,33,27,878.0,60.6,48.5,4.0,-33.88247,18.71094
Ward 63,51,47,869.0,66.7,51.0,8.0,-34.01676,18.47777
Ward 51,4,4,860.0,75.0,100.0,1.5,-33.94338,18.53425
Ward 45,1,1,856.0,0.0,0.0,7.0,-33.9764,18.5599
Ward 72,19,19,818.0,84.2,73.7,5.0,-34.05139,18.4786
Ward 27,82,69,818.0,41.5,73.2,0.0,-33.90628,18.54583
Ward 2,195,168,804.0,43.6,80.0,2.0,-33.8935,18.60438
Ward 78,1,1,803.0,0.0,0.0,35.0,-34.05377,18.60308
Ward 6,6,6,799.0,0.0,83.3,8.0,-33.87496,18.72602
Ward 3,102,93,795.0,61.8,62.7,2.0,-33.88983,18.65243
Ward 11,38,33,780.0,76.3,55.3,8.5,-33.93007,18.69003
Ward 26,71,67,765.0,54.9,77.5,1.0,-33.90568,18.57765
Ward 9,41,39,756.0,29.3,75.6,2.0,-33.91375,18.65221
Ward 49,10,10,742.0,40.0,30.0,4.5,-33.96083,18.51033
Ward 19,16,15,710.0,62.5,68.8,1.5,-33.95457,18.67799
Ward 10,73,61,701.0,31.5,86.3,1.0,-33.90057,18.62455
Ward 111,19,12,696.0,26.3,78.9,0.0,-33.85782,18.72067
Ward 65,7,6,659.0,57.1,28.6,0.0,-34.03805,18.50341
Ward 46,7,6,654.0,42.9,42.9,1.0,-33.98034,18.54229
Ward 108,9,9,640.0,22.2,66.7,0.0,-33.96701,18.68099
Ward 18,1,1,634.0,100.0,0.0,0.0,-34.00713,18.64032
Ward 68,3,2,619.0,33.3,33.3,0.0,-34.07919,18.47181
Ward 96,2,2,611.0,0.0,0.0,0.5,-34.0398,18.70525
Ward 43,4,3,571.0,75.0,0.0,0.5,-34.07135,18.56725
Ward 16,11,11,571.0,27.3,90.9,0.0,-34.02084,18.71464
