host_id,listings_held,is_superhost,host_since,host_profile
25286,2,f,,2-4 listings
28978,1,f,,Single listing
34842,1,f,,Single listing
58123,2,f,,2-4 listings
58601,1,f,,Single listing
59072,2,f,,2-4 listings
59318,4,f,,2-4 listings
59342,6,f,,5-19 listings
59694,1,f,,Single listing
60278,1,t,,Single listing
60443,1,f,,Single listing
61441,4,f,,2-4 listings
63255,3,t,,2-4 listings
65714,2,f,,2-4 listings
69912,2,t,,2-4 listings
73221,1,t,,Single listing
73439,5,t,,5-19 listings
73764,1,f,,Single listing
84051,2,f,,2-4 listings
89107,1,f,,Single listing
89294,1,f,,Single listing
92515,1,f,,Single listing
95863,3,t,,2-4 listings
101820,1,t,,Single listing
102019,1,t,,Single listing
115590,2,t,,2-4 listings
115874,1,t,,Single listing
119863,1,f,,Single listing
122564,1,f,,Single listing
122685,1,f,,Single listing
126342,2,f,,2-4 listings
127446,2,f,,2-4 listings
134594,7,f,,5-19 listings
135550,1,f,,Single listing
144553,4,t,,2-4 listings
156196,1,f,,Single listing
156910,8,t,,5-19 listings
168895,1,f,,Single listing
186492,1,f,,Single listing
194391,1,f,,Single listing
221078,3,t,,2-4 listings
227103,6,t,,5-19 listings
229674,1,f,,Single listing
248446,1,t,,Single listing
255784,15,t,,5-19 listings
278130,1,f,,Single listing
313049,1,f,,Single listing
321635,2,t,,2-4 listings
322885,1,f,,Single listing
329628,1,f,,Single listing
358366,1,f,,Single listing
387835,1,t,,Single listing
397740,1,f,,Single listing
401232,1,t,,Single listing
404176,5,t,,5-19 listings
406726,1,t,,Single listing
415031,1,t,,Single listing
464845,1,f,,Single listing
479499,1,f,,Single listing
510489,1,f,,Single listing
527428,1,f,,Single listing
531026,1,f,,Single listing
539579,1,f,,Single listing
552892,2,f,,2-4 listings
553482,1,t,,Single listing
555122,1,f,,Single listing
556264,1,f,,Single listing
569892,1,f,,Single listing
577437,1,t,,Single listing
579839,1,f,,Single listing
608782,1,f,,Single listing
613674,2,f,,2-4 listings
614529,2,t,,2-4 listings
615652,5,f,,5-19 listings
632541,8,f,,5-19 listings
633287,1,t,,Single listing
636379,1,f,,Single listing
640952,2,f,,2-4 listings
654722,2,t,,2-4 listings
654987,3,f,,2-4 listings
657509,1,f,,Single listing
664676,1,f,,Single listing
665658,1,f,,Single listing
669339,4,t,,2-4 listings
687028,1,f,,Single listing
689326,1,t,,Single listing
692331,1,t,,Single listing
709211,2,f,,2-4 listings
714541,1,f,,Single listing
719513,1,f,,Single listing
721485,1,f,,Single listing
725450,1,f,,Single listing
735733,1,f,,Single listing
735841,1,t,,Single listing
747457,1,t,,Single listing
748183,1,f,,Single listing
748450,4,f,,2-4 listings
772940,1,t,,Single listing
789205,1,f,,Single listing
793042,2,t,,2-4 listings
810511,1,f,,Single listing
826317,2,t,,2-4 listings
827366,1,t,,Single listing
828766,1,f,,Single listing
837661,2,f,,2-4 listings
853118,1,t,,Single listing
863983,2,t,,2-4 listings
864608,1,f,,Single listing
882705,1,f,,Single listing
882961,1,f,,Single listing
884661,1,f,,Single listing
905412,1,t,,Single listing
914135,4,t,,2-4 listings
924835,1,f,,Single listing
926551,1,f,,Single listing
932097,1,t,,Single listing
936360,2,f,,2-4 listings
953634,1,f,,Single listing
967355,1,t,,Single listing
978466,1,t,,Single listing
1002081,1,f,,Single listing
1008697,1,t,,Single listing
1010518,1,f,,Single listing
1027010,1,f,,Single listing
1039600,1,f,,Single listing
1040545,1,t,,Single listing
1101004,1,f,,Single listing
1104303,3,t,,2-4 listings
1111075,1,t,,Single listing
1116621,1,f,,Single listing
1131577,1,f,,Single listing
1166923,2,f,,2-4 listings
1184184,1,f,,Single listing
1202749,1,f,,Single listing
1209764,1,f,,Single listing
1209910,1,f,,Single listing
1209960,2,f,,2-4 listings
1210580,1,f,,Single listing
1210745,1,f,,Single listing
1216472,1,t,,Single listing
1240873,2,t,,2-4 listings
1243103,2,f,,2-4 listings
1271315,1,f,,Single listing
1280612,2,f,,2-4 listings
1293199,10,f,,5-19 listings
1314336,1,f,,Single listing
1320438,1,f,,Single listing
1320531,1,f,,Single listing
1328719,1,f,,Single listing
1329918,1,f,,Single listing
1345936,4,f,,2-4 listings
1354282,3,f,,2-4 listings
1357306,1,f,,Single listing
1369150,1,t,,Single listing
1384294,2,t,,2-4 listings
1401279,1,t,,Single listing
1424596,1,f,,Single listing
1441807,1,f,,Single listing
1447812,1,f,,Single listing
1480623,1,t,,Single listing
1481096,1,f,,Single listing
1481394,2,t,,2-4 listings
1481935,1,f,,Single listing
1492767,2,t,,2-4 listings
1494208,1,f,,Single listing
1500197,1,f,,Single listing
1512355,1,f,,Single listing
1512563,1,f,,Single listing
1513113,2,f,,2-4 listings
1539169,1,t,,Single listing
1558084,1,f,,Single listing
1565176,1,t,,Single listing
1569158,1,f,,Single listing
1577502,1,f,,Single listing
1581872,4,f,,2-4 listings
1624011,2,t,,2-4 listings
1646708,2,f,,2-4 listings
1657066,1,f,,Single listing
1666857,1,f,,Single listing
1669921,1,f,,Single listing
1672178,1,t,,Single listing
1691215,1,t,,Single listing
1725487,1,t,,Single listing
1738430,1,f,,Single listing
1741809,1,t,,Single listing
1766257,1,f,,Single listing
1792585,1,f,,Single listing
1802190,1,t,,Single listing
1811942,3,f,,2-4 listings
1818018,1,t,,Single listing
1825343,2,t,,2-4 listings
1825908,1,t,,Single listing
1834673,1,t,,Single listing
1838554,2,f,,2-4 listings
1849649,1,f,,Single listing
1852795,3,f,,2-4 listings
1867661,1,t,,Single listing
1871116,3,t,,2-4 listings
1902671,1,f,,Single listing
1912713,2,f,,2-4 listings
1922503,2,t,,2-4 listings
1952066,8,f,,5-19 listings
1961002,1,t,,Single listing
1976676,1,f,,Single listing
1987094,1,f,,Single listing
1987287,1,f,,Single listing
1990147,2,t,,2-4 listings
1997313,3,t,,2-4 listings
1998937,2,t,,2-4 listings
2006171,1,t,,Single listing
2009092,1,f,,Single listing
2028248,1,f,,Single listing
2047543,1,f,,Single listing
2064511,1,t,,Single listing
2065270,1,t,,Single listing
2071842,8,t,,5-19 listings
2076419,13,t,,5-19 listings
2086596,1,t,,Single listing
2086927,1,t,,Single listing
2098559,1,f,,Single listing
2115202,1,f,,Single listing
2118730,6,t,,5-19 listings
2130446,2,f,,2-4 listings
2130784,1,f,,Single listing
2136530,1,f,,Single listing
2138774,7,f,,5-19 listings
2170671,1,t,,Single listing
2202209,1,f,,Single listing
2204527,3,t,,2-4 listings
2210731,3,t,,2-4 listings
2227809,1,f,,Single listing
2262769,1,f,,Single listing
2263216,1,f,,Single listing
2266643,1,f,,Single listing
2320292,1,f,,Single listing
2330092,2,t,,2-4 listings
2334819,1,t,,Single listing
2339584,1,f,,Single listing
2346675,5,f,,5-19 listings
2349400,2,t,,2-4 listings
2352753,1,f,,Single listing
2352899,1,f,,Single listing
2358230,5,t,,5-19 listings
2361377,1,t,,Single listing
2370518,1,f,,Single listing
2374101,4,t,,2-4 listings
2397423,5,f,,5-19 listings
2404221,1,f,,Single listing
2421661,1,f,,Single listing
2446193,1,f,,Single listing
2469634,2,t,,2-4 listings
2474454,1,t,,Single listing
2489897,5,f,,5-19 listings
2498636,1,t,,Single listing
