listing_id,host_id,ward,room_type,property_type,accommodates,bedrooms,price_zar,minimum_nights,availability_365,reviews_total,reviews_ltm,review_score,is_superhost,latitude,longitude,is_licensed
15007,59072,Ward 23,Entire home/apt,Entire home,6,3.0,,2.0,1,53,6,4.83,f,-33.80001,18.46063,False
15077,59342,Ward 4,Private room,Private room in rental unit,2,,1231.0,2.0,247,7,0,5.0,f,-33.858356,18.490376,False
15199,59694,Ward 115,Entire home/apt,Entire rental unit,2,1.0,2596.18,14.0,364,2,0,4.5,f,-33.91115,18.41235,False
15480,60443,Ward 115,Entire home/apt,Entire rental unit,2,1.0,579.56,30.0,287,23,0,4.36,f,-33.92876,18.42247,False
15704,61441,Ward 54,Entire home/apt,Entire villa,15,7.0,31953.0,3.0,263,3,0,5.0,f,-33.9659,18.37724,False
283053,1209960,Ward 115,Entire home/apt,Entire rental unit,4,2.0,1650.0,1.0,99,68,0,4.82,f,-33.90974,18.40512,False
286894,1492767,Ward 54,Entire home/apt,Entire rental unit,2,1.0,1378.24,5.0,155,102,27,4.97,t,-33.92169952392578,18.383554458618164,False
287211,1494208,Ward 77,Entire home/apt,Entire home,6,3.0,4245.5,2.0,177,28,2,4.86,f,-33.93456,18.40321,False
291205,1512563,Ward 71,Entire home/apt,Entire rental unit,3,1.0,1415.33,3.0,257,30,5,4.79,f,-34.07088,18.45068,False
292170,1513113,Ward 115,Private room,Private room in home,2,,1251.67,3.0,179,7,0,5.0,f,-33.93277,18.41939,False
298622,1539169,Ward 61,Entire home/apt,Entire rental unit,4,1.0,1597.65,2.0,264,86,9,4.93,t,-34.20875,18.4594,False
357793,1802190,Ward 115,Entire home/apt,Entire rental unit,4,2.0,,4.0,0,251,11,4.78,t,-33.92528,18.42022,False
357993,1811942,Ward 54,Entire home/apt,Entire guest suite,2,1.0,1226.5,2.0,171,110,1,4.78,f,-33.96455,18.38113,False
363935,1838554,Ward 64,Entire home/apt,Entire home,4,2.0,,14.0,0,4,0,4.25,f,-34.10183,18.47495,False
370531,1867661,Ward 57,Entire home/apt,Entire home,3,2.0,283.42,37.0,172,26,2,4.92,t,-33.939449310302734,18.467430114746094,False
381267,1912713,Ward 57,Entire home/apt,Entire home,5,3.0,4051.2,15.0,361,0,0,,f,-33.93894,18.47248,False
390198,1952066,Ward 54,Private room,Private room in rental unit,1,,722.25,4.0,138,80,12,5.0,f,-33.91351,18.39218,False
395538,1976676,Ward 115,Entire home/apt,Entire rental unit,4,2.0,4113.0,5.0,88,7,0,4.57,f,-33.924,18.42221,False
400107,1997313,Ward 54,Entire home/apt,Entire villa,8,5.0,10484.0,2.0,308,60,1,4.98,t,-33.95426,18.37938,False
443237,2202209,Ward 77,Entire home/apt,Entire rental unit,2,2.0,1949.33,3.0,188,13,6,4.69,f,-33.93907,18.41643,False
471729,2339584,Ward 61,Entire home/apt,Entire cottage,2,1.0,1719.5,2.0,270,75,5,4.67,f,-34.19988,18.37755,False
473856,2349400,Ward 115,Entire home/apt,Entire rental unit,2,1.0,1764.5,2.0,280,217,18,4.87,t,-33.92786,18.41642,False
